Dato,Løb,Etaper,Kategori,Type
16/9,Lotto Grand Prix de Wallonie,1,ProSeries races,Endagsløb
19/9,Flandrien O Classic,1,ProSeries races,Endagsløb
3/10,Giro dell'Emilia,1,ProSeries races,Endagsløb
3/10,Sparkassen Münsterland Giro,1,ProSeries races,Endagsløb
5/10,Coppa Bernocchi - GP Banco BPM,1,ProSeries races,Endagsløb
6/10,Tre Valli Varesine,1,ProSeries races,Endagsløb
8/10,Gran Piemonte,1,ProSeries races,Endagsløb
11/10,Paris - Tours Elite,1,ProSeries races,Endagsløb
14/10,Giro del Veneto,1,ProSeries races,Endagsløb
18/10,Utsunomiya Japan Cup Road Race,1,ProSeries races,Endagsløb
18/10,Veneto Classic,1,ProSeries races,Endagsløb
